gene,direct_disease_assoc,two_step_assoc_to_disease,two_step_pub_count,disease_symptoms_gene_is_associated_with,symptoms_associated_count,disease_symptom_gene_pub_count,causes_symptom_count,gene_connections_count,relevance_score
TLR4,4,1641,10856,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'bronchiectasis']",11,19,1,4494,827.7928478112174
PTH,3,1646,17766,"['hypercalciuria', 'hypercalciuria', 'hypercalciuria', 'hypercalciuria', 'hypercalciuria', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'biliary cirrhosis', 'exocrine pancreatic insufficiency']",11,16,1,4624,813.6470588235294
IL2,2,1851,12525,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'bronchiectasis']",10,23,1,5695,744.0513283907704
CCL2,3,1480,6718,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'biliary cirrhosis']",10,9,2,3780,737.4551551247749
ALB,2,1934,11804,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'male infertility', 'biliary cirrhosis', 'biliary cirrhosis']",8,5,1,4258,718.9822173321332
IL13,1,776,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",13,40,1,1863,710.663459642968
IL4,2,890,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'bronchiectasis']",12,14,0,2263,688.6548589847881
AR,2,1558,10122,"['male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'asthma', 'asthma', 'asthma']",12,19,1,6843,686.9721037589359
POMC,0,1668,15827,"['failure to thrive', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'hypercalciuria', 'hypercalciuria', 'chronic lung disease', 'male infertility']",10,78,1,5544,672.3249596518423
CA2,4,2590,34478,"['failure to thrive', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'dehydration', 'dehydration', 'exocrine pancreatic insufficiency', 'hypercalciuria', 'male infertility']",11,20,3,16710,671.8643505690189
NOS2,2,1031,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'biliary cirrhosis']",9,4,0,1784,671.8449470283555
MPO,2,1777,13321,"['asthma', 'asthma', 'asthma', 'bronchiectasis']",4,0,0,1110,647.2437027973394
IL10,2,1396,6732,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",9,15,1,3506,646.0233138799562
MMP9,2,1769,10757,"['biliary cirrhosis', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",7,1,0,3495,635.4860847795944
CD4,1,2019,12736,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis']",9,51,1,7917,615.9195801938238
